id,district_id,name,men,women
9048,205,ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,9660,9985
9049,206,ΑΜΦΙΠΟΛΗΣ,7673,7917
9050,206,ΒΙΣΑΛΤΙΑΣ,15607,15823
9051,206,ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,11990,11806
9052,206,ΗΡΑΚΛΕΙΑΣ,15437,15377
9053,206,ΝΕΑΣ ΖΙΧΝΗΣ,8686,8884
9054,206,ΣΕΡΡΩΝ,35999,38338
9055,206,ΣΙΝΤΙΚΗΣ,19895,20375
9056,207,ΑΡΙΣΤΟΤΕΛΗ,10707,10742
9057,207,ΚΑΣΣΑΝΔΡΑΣ,7475,7529
9058,207,ΝΕΑΣ ΠΡΟΠΟΝΤΙΔΑΣ,15741,16829
9059,207,ΠΟΛΥΓΥΡΟΥ,10955,11552
9060,207,ΣΙΘΩΝΙΑΣ,6352,6336
9061,301,ΓΡΕΒΕΝΩΝ,17557,16916
9062,301,ΔΕΣΚΑΤΗΣ,4446,4297
9063,302,ΚΑΣΤΟΡΙΑΣ,19839,20270
9064,302,ΝΕΣΤΟΡΙΟΥ,4066,4024
9065,302,ΟΡΕΣΤΙΔΟΣ,7210,7311
9066,303,ΒΟΙΟΥ,14834,14950
9067,303,ΕΟΡΔΑΙΑΣ,22386,23041
9068,303,ΚΟΖΑΝΗΣ,32368,33214
9069,303,ΣΕΡΒΙΩΝ - ΒΕΛΒΕΝΤΟΥ ,12155,11640
9070,304,ΑΜΥΝΤΑΙΟΥ,12698,12593
9071,304,ΠΡΕΣΠΩΝ,3625,3613
9072,304,ΦΛΩΡΙΝΑΣ,28096,29370
9073,401,ΑΡΤΑΙΩΝ,19870,21168
9074,401,ΓΕΩΡΓΙΟΥ ΚΑΡΑΙΣΚΑΚΗ,6175,5636
9075,401,ΚΕΝΤΡΙΚΩΝ ΤΖΟΥΜΕΡΚΩΝ ,6942,6741
9076,401,ΝΙΚΟΛΑΟΥ ΣΚΟΥΦΑ,7729,7916
9077,402,ΗΓΟΥΜΕΝΙΤΣΑΣ,14251,14315
9078,402,ΣΟΥΛΙΟΥ,8634,8286
9079,402,ΦΙΛΙΑΤΩΝ,7815,7570
9080,403,ΒΟΡΕΙΩΝ ΤΖΟΥΜΕΡΚΩΝ,5511,5487
9081,403,ΔΩΔΩΝΗΣ,10548,9892
9082,403,ΖΑΓΟΡΙΟΥ,4216,4480
9083,403,ΖΙΤΣΑΣ,10033,10344
9084,403,ΙΩΑΝΝΙΤΩΝ,34025,37229
9085,403,ΚΟΝΙΤΣΑΣ,6588,6532
9086,403,ΜΕΤΣΟΒΟΥ,5167,4993
9087,403,ΠΩΓΩΝΙΟΥ,8607,8941
9088,404,ΖΗΡΟΥ,10185,9967
9089,404,ΠΑΡΓΑΣ,8682,8183
9090,404,ΠΡΕΒΕΖΑΣ,14892,15477
9091,501,ΑΡΓΙΘΕΑΣ,4105,4050
9092,501,ΚΑΡΔΙΤΣΑΣ,25468,26421
9093,501,ΛΙΜΝΗΣ ΠΛΑΣΤΗΡΑ,4324,4218
9094,501,ΜΟΥΖΑΚΙΟΥ,11683,11300
9095,501,ΠΑΛΑΜΑ,9666,9537
9096,501,ΣΟΦΑΔΩΝ,12392,12570
9097,502,ΑΓΙΑΣ,7336,7592
9098,502,ΕΛΑΣΣΟΝΑΣ,20088,19709
9099,502,ΚΙΛΕΛΕΡ,12543,12950
9100,502,ΛΑΡΙΣΑΙΩΝ,51831,57185
9101,502,ΤΕΜΠΩΝ ,9321,8992
9102,502,ΤΥΡΝΑΒΟΥ,11235,11523
9103,502,ΦΑΡΣΑΛΩΝ,10368,10450
9104,503,ΑΛΜΥΡΟΥ,9741,10237
9105,503,ΒΟΛΟΥ,53018,57771
9106,503,ΖΑΓΟΡΑΣ - ΜΟΥΡΕΣΙΟΥ,3728,4003
9107,503,ΝΟΤΙΟΥ ΠΗΛΙΟΥ,5902,6475
9108,503,ΡΗΓΑ ΦΕΡΑΙΟΥ,6524,6722
9109,504,ΑΛΟΝΝΗΣΟΥ,875000,860000
9110,504,ΣΚΙΑΘΟΥ,2562,2465
9111,504,ΣΚΟΠΕΛΟΥ,2634,2708
9112,505,ΚΑΛΑΜΠΑΚΑΣ,18987,18559
9113,505,ΠΥΛΗΣ,13460,12995
9114,505,ΤΡΙΚΚΑΙΩΝ,32793,34092
9115,505,ΦΑΡΚΑΔΟΝΑΣ,9781,9639
9116,601,ΖΑΚΥΝΘΟΥ,20758,21218
9117,602,ΙΘΑΚΗΣ,2711,2821
9118,603,ΚΕΡΚΥΡΑΣ,51836,55375
9119,603,ΠΑΞΩΝ,1298,1385
9120,604,ΚΕΦΑΛΟΝΙΑΣ,25130,25513
9121,605,ΛΕΥΚΑΔΑΣ,13648,13690
9122,605,ΜΕΓΑΝΗΣΙΟΥ,1002,1052
