ΚΩΔ;ΠΕΡΙΦΕΡΕΙΑ;ΚΩΔ1;ΔΗΜΟΣ;ΑΝΔΡΕΣ;ΓΥΝΑΙΚΕΣ;ΣΥΝΟΛΟ
0803;ΕΥΡΥΤΑΝΙΑΣ;9156;ΑΓΡΑΦΩΝ;6.645;5.953;12.598
0803;ΕΥΡΥΤΑΝΙΑΣ;9157;ΚΑΡΠΕΝΗΣΙΟΥ;9.658;10.019;19.677
0804;ΦΘΙΩΤΙΔΑΣ;9158;ΑΜΦΙΚΛΕΙΑΣ - ΕΛΑΤΕΙΑΣ;5.699;5.975;11.674
0804;ΦΘΙΩΤΙΔΑΣ;9159;ΔΟΜΟΚΟΥ;7.385;7.192;14.577
0804;ΦΘΙΩΤΙΔΑΣ;9160;ΛΑΜΙΕΩΝ;29.535;31.821;61.356
0804;ΦΘΙΩΤΙΔΑΣ;9161;ΛΟΚΡΩΝ;9.426;10.034;19.460
0804;ΦΘΙΩΤΙΔΑΣ;9162;ΜΑΚΡΑΚΩΜΗΣ;9.527;9.513;19.040
0804;ΦΘΙΩΤΙΔΑΣ;9163;ΜΩΛΟΥ - ΑΓΙΟΥ ΚΩΝΣΤΑΝΤΙΝΟΥ;6.101;6.380;12.481
0804;ΦΘΙΩΤΙΔΑΣ;9164;ΣΤΥΛΙΔΑΣ;6.404;6.822;13.226
0805;ΦΩΚΙΔΑΣ;9165;ΔΕΛΦΩΝ;13.216;13.865;27.081
0805;ΦΩΚΙΔΑΣ;9166;ΔΩΡΙΔΟΣ;8.745;8.972;17.717
0901;ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ;9167;ΑΓΙΑΣ ΠΑΡΑΣΚΕΥΗΣ;17.506;20.067;37.573
0901;ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ;9168;ΑΜΑΡΟΥΣΙΟΥ;22.309;25.885;48.194
0901;ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ;9169;ΒΡΙΛΗΣΣΙΩΝ;9.364;10.454;19.818
0901;ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ;9170;ΗΡΑΚΛΕΙΟΥ;16.047;17.800;33.847
0901;ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ;9171;ΚΗΦΙΣΙΑΣ;24.806;28.133;52.939
0901;ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ;9172;ΛΥΚΟΒΡΥΣΗΣ - ΠΕΥΚΗΣ;9.901;11.195;21.096
0901;ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ;9173;ΜΕΤΑΜΟΡΦΩΣΕΩΣ;9.201;9.940;19.141
0901;ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ;9174;ΝΕΑΣ ΙΩΝΙΑΣ;22.848;25.472;48.320
0901;ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ;9175;ΠΑΠΑΓΟΥ - ΧΟΛΑΡΓΟΥ;16.634;19.549;36.183
0901;ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ;9176;ΠΕΝΤΕΛΗΣ;11.475;12.805;24.280
0901;ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ;9177;ΦΙΛΟΘΕΗΣ - ΨΥΧΙΚΟΥ;12.499;14.669;27.168
0901;ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ;9178;ΧΑΛΑΝΔΡΙΟΥ;23.336;26.735;50.071
